>EML4,chr2:42396490-42559688
14,12975860,12975992
15,12976130,12976295
16,12976531,12976632
17,12976794,12976916
18,12977467,12977576
19,12978288,12978466
20,12978544,12978791
21,12979457,12979663
22,12979880,12980109
23,12981638,12981760
24,12981850,12981986
25,12984138,12984325
26,12984423,12985765

>NOTCH1_ENST00000277541,chr9:139388896-139440314
1,139440178,139440314
2,139438476,139438554
3,139418169,139418431
4,139417302,139417640
5,139413895,139414017
6,139413043,139413276
7,139412589,139412744
8,139412204,139412389
9,139411724,139411837
10,139410433,139410546
11,139409935,139410168
12,139409742,139409852
13,139408962,139409154
14,139407844,139407989
15,139407473,139407586
16,139405604,139405723
17,139405105,139405257
18,139404185,139404413
19,139403322,139403523
20,139402684,139402837
21,139402407,139402591
22,139401757,139401889
23,139401168,139401425
24,139400979,139401091
25,139399762,139400333
26,139399125,139399556
27,139397634,139397782
28,139396724,139396940
29,139396453,139396540
30,139396200,139396365
31,139395004,139395299
32,139393564,139393711
33,139393351,139393448
34,139388896,139392010

>GABBR2,chr9:101050391-101471479
1,101470699,101471479
2,101340217,101340354
3,101304155,101304325
4,101258695,101258796
5,101243214,101243279
6,101235428,101235628
7,101216263,101216499
8,101168363,101168423
9,101156457,101156537
10,101151136,101151286
11,101147922,101148054
12,101133746,101133853
13,101124997,101125119
14,101073377,101073487
15,101068403,101068627
16,101065523,101065705
17,101061506,101061635
18,101056067,101056184
19,101050391,101053031

>SEC16A_NM_014866.1,chr9:139334549-139372141
1,139368501,139372141
2,139366427,139366563
3,139362867,139362964
4,139361409,139361535
5,139360716,139360914
6,139360414,139360588
7,139358872,139359014
8,139358131,139358192
9,139357915,139358053
10,139357339,139357584
11,139355629,139355726
12,139354494,139354575
13,139354209,139354326
14,139353896,139354007
15,139353586,139353691
16,139351896,139352036
17,139350505,139350618
18,139350053,139350245
19,139348561,139348779
20,139347880,139347962
21,139345708,139345860
22,139342536,139342613
23,139342305,139342361
24,139342021,139342132
25,139341679,139341816
26,139341307,139341401
27,139340097,139340171
28,139339504,139339563
29,139338275,139338352
30,139334549,139336275

>TADA2A_ENST00000394395,chr17:35766965-35839835
1,35766965,35767040
2,35771356,35771477
3,35783609,35783715
4,35787049,35787108
5,35797839,35797930
6,35800606,35800763
7,35802665,35802753
8,35804798,35804870
9,35818626,35818689
10,35822182,35822225
11,35825535,35825645
12,35827558,35827629
13,35830504,35830636
14,35831198,35831241
15,35834661,35834734
16,35836902,35839835

>ZNF700,chr19:12035883-12061588
1,12035883,12036088
2,12057996,12058122
3,12058329,12058389
4,12059091,12061578

>KTN1,chr14:56025790-56168244
1,56025790,56025868
2,56078737,56078948

>PCM1,chr8:17780349-17885478
1,17780349,17780697
2,17782222,17782289
3,17793098,17793215
4,17794643,17794888
5,17796249,17796518
6,17797200,17797370
7,17804695,17804872
8,17808124,17808233
9,17810479,17810695
10,17812979,17813162
11,17814113,17814286
12,17814773,17814930
13,17815049,17815284
14,17817523,17817674
15,17817824,17817953
16,17819543,17819683
17,17820610,17820800
18,17822077,17822277
19,17823508,17823727
20,17823837,17823982
21,17824489,17824679
22,17827086,17827257
23,17829838,17830196
24,17838100,17838264
25,17842956,17843128
26,17843468,17843596
27,17847368,17847488
28,17849051,17849209
29,17850992,17851128
30,17863772,17863906
31,17867056,17867253
32,17868118,17868177
33,17868746,17868875
34,17869176,17869336
35,17871473,17871545
36,17872093,17872349
37,17882870,17882962
38,17883053,17883167
39,17885146,17885477

>TRIM24,chr7:138145079-138274738
1,138145079,138145657
2,138189035,138189153
3,138199957,138200104
4,138203934,138204066
5,138209986,138210102
6,138213861,138213975
7,138223402,138223548
8,138235808,138235925
9,138239443,138239711
10,138252226,138252399
11,138255575,138255748
12,138258252,138258387
13,138261118,138261190
14,138262165,138262333
15,138263949,138264277
16,138265307,138265439
17,138266442,138266516
18,138268595,138268744
19,138269487,138274738

>TRIM33_ENST00000358465,chr1:114935399-115053781
1,115053172,115053781
2,115006892,115007010
3,115006034,115006178
4,115005726,115005858
5,114976239,114976355
6,114973420,114973534
7,114970370,114970516
8,114969799,114969916
9,114968071,114968345
10,114967213,114967377
11,114964058,114964258
12,114952806,114952938
13,114951299,114951362
14,114949563,114949722
15,114948032,114948381
16,114945382,114945505
17,114944011,114944085
18,114942079,114942231
19,114940562,114940612
20,114935399,114940482

>MLLT10,chr10:21823094-22032559
1,21823094,21823449
2,21823574,21823733
3,21827762,21827841
4,21845572,21846111

>SEPT9_ENST00000427177,chr17:75276651-75496678
1,75277492,75277636
2,75303223,75303279
3,75398141,75398785
4,75478226,75478417
5,75483506,75483634
6,75484322,75484403
7,75484809,75484946
8,75486824,75486941
9,75488703,75488798
10,75489062,75489158
11,75493397,75493448
12,75494605,75496674

>SEC31A,chr4:83739814-83822319
1,83765539,83765613
2,83763293,83763634
3,83752090,83752128
4,83750153,83750211
5,83748522,83748785
6,83745708,83745827
7,83742190,83742261
8,83739814,83740406

>SSBP2,chr5:80708840-81047616
1,81046800,81047072
2,80946086,80946158
3,80932376,80932437
4,80911292,80911376
5,80809447,80809536
6,80785069,80785128
7,80770315,80770381
8,80769519,80769589
9,80762793,80762860
10,80756874,80756922
11,80744609,80744644
12,80742687,80742741
13,80738472,80738542
14,80736377,80736455
15,80733249,80733277
16,80724404,80724502
17,80708840,80716352

>EPS15,chr1:51819935-51985000
1,51984871,51984913
2,51946945,51946986
3,51938531,51938620
4,51937362,51937409
5,51934145,51934240
6,51930933,51930998
7,51929345,51929470
8,51926763,51926822
9,51913718,51913807
10,51912632,51912777
11,51910561,51910717
12,51906019,51906104
13,51887458,51887530
14,51875207,51875368
15,51869091,51869204
16,51868107,51868197
17,51866590,51866625
18,51864704,51864837
19,51860053,51860119
20,51831625,51831701
21,51829538,51829700
22,51826843,51827027
23,51819935,51822518

>CDH11,chr16:64977656-65160015
1,65155783,65155939
2,65087707,65087831
3,65038545,65038944
4,65032465,65032759
5,65026818,65026937
6,65025671,65025838
7,65022060,65022247
8,65015951,65016204
9,65006807,65006943
10,65005834,65005967
11,65005482,65005599
12,64984670,64984921
13,64982512,64982690
14,64977656,64982002

>USP6_ENST00000250066,chr17:5019733-5078329
1,5031687,5033384
2,5033662,5033734
3,5033897,5033979
4,5035691,5035730
5,5036205,5036285
6,5036738,5036845
7,5037182,5037291
8,5038529,5038577
9,5039103,5039223
10,5039935,5040029
11,5040416,5040481
12,5040946,5041045
13,5041416,5041568
14,5042550,5042969
15,5044720,5044794
16,5045298,5045436
17,5045692,5045797
18,5047985,5048158
19,5048700,5048874
20,5049318,5049469
21,5050378,5050489
22,5051851,5052062
23,5058717,5058901
24,5064823,5064909
25,5066179,5066299
26,5071227,5071418
27,5072062,5072350
28,5073774,5074210
29,5074882,5074974
30,5076100,5078329

>AFF3,chr2:100162323-100759201
1,100721130,100721178
2,100720864,100720980
3,100625274,100625394
4,100623610,100623922
5,100623094,100623479
6,100453939,100453986
7,100368683,100368763
8,100360566,100360602
9,100343539,100343590
10,100289000,100289051
11,100266088,100266128
12,100217897,100218083
13,100209657,100210751
14,100203616,100203740
15,100199260,100199461
16,100194789,100194913
17,100185314,100185377
18,100181949,100182085
19,100176827,100176898
20,100175337,100175430
21,100171145,100171194
22,100170773,100170996
23,100162323,100168057

>EEFSEC,chr3:127872297-128127485
1,127872297,127872666
2,127965679,127965886
3,127980971,127981067
4,127983460,127983624
5,128060076,128060732
6,128077060,128077216
7,128126912,128127485

>CHCHD7,chr8:57124245-57131357
1,57124245,57124396
2,57127157,57127226
3,57128948,57129090
4,57129890,57130097

>PLAG1,chr8:57073463-57123883
1,57123680,57123838
2,57091968,57092072
3,57083650,57083748
4,57080587,57080945
5,57073463,57080062

>CTNNB1,chr3:41236328-41301587
1,41236328,41236432
2,41237119,41237197
3,41265512,41265572
4,41265681,41265812
5,41266017,41266202

>FAM131B_ENST00000443739,chr7:143050493-143059863
1,143059669,143059845
2,143057133,143057242
3,143056825,143056860
4,143056419,143056512
5,143055920,143056117
6,143054373,143054516
7,143050493,143054115

>ATIC,chr2:216176540-216214487
1,216176540,216176884
2,216177221,216177347
3,216182880,216182956
4,216184388,216184454
5,216189964,216190052
6,216190710,216190861
7,216191545,216191701
8,216197105,216197230
9,216198073,216198180
10,216199642,216199727
11,216200758,216200847
12,216203502,216203630
13,216209502,216209594
14,216211482,216211664
15,216213817,216213972
16,216214259,216214486

>TCEA1_ENST00000521604,chr8:54879112-54935089
1,54934623,54935089
2,54922990,54923052
3,54912505,54912610
4,54906228,54906315
5,54900674,54900819
6,54899529,54899585
7,54896923,54897077
8,54891585,54891731
9,54882952,54883023
10,54879116,54880672

>VTI1A,chr10:114206756-114578503
1,114206756,114207225
2,114208140,114208247
3,114208640,114210484

>TCF7L2,chr10:114710009-114927437
1,114710009,114710704
2,114710966,114711032
3,114711242,114711366
4,114724315,114724383
5,114799784,114799885
6,114900943,114901075
7,114903682,114903784
8,114905770,114905856
9,114910757,114910882
10,114911484,114911643
11,114912092,114912199
12,114917780,114917828
13,114918426,114918476
14,114919679,114919751
15,114925314,114927437

>LIFR_ENST00000263409,chr5:38475065-38608456
1,38595363,38595506
2,38530608,38530768
3,38528828,38528942
4,38527257,38527396
5,38523521,38523684
6,38511892,38512066
7,38510566,38510820
8,38506605,38506734
9,38506007,38506176
10,38504078,38504223
11,38502739,38502901
12,38499615,38499685
13,38496484,38496697
14,38493708,38493887
15,38490292,38490393
16,38489180,38489347
17,38485921,38486082
18,38484877,38484970
19,38482691,38482769
20,38475065,38482320

>CLCN6,chr1:11866207-11903201
1,11866207,11866406
2,11867188,11867247
3,11875903,11875968
4,11876672,11876737
5,11879545,11879611
6,11882752,11882858
7,11883764,11883890
8,11884543,11884610
9,11886213,11886271
10,11887146,11887278
11,11888163,11888276
12,11889253,11889379
13,11893572,11893695
14,11893934,11894087
15,11894293,11894452
16,11894541,11894647
17,11896024,11896210
18,11897056,11897213
19,11897400,11897556
20,11898392,11898499
21,11898592,11898717
22,11900200,11903201

>GNAI1,chr7:79763271-79848718
1,79763271,79763364
2,79763536,79763628
3,79763734,79763884
4,79764344,79764544

>MKRN1,chr7:140152840-140179369
1,140178960,140179369
2,140171683,140171811
3,140159507,140159736
4,140158807,140159033
5,140156452,140156666
6,140155590,140155700
7,140154895,140155033
8,140152840,140154529

>NACC2,chr9:138898383-138987131
1,138941482,138942426
2,138908111,138908275
3,138905710,138905815
4,138905045,138905142
5,138898383,138903870

>NTRK2,chr9:87283466-87638505
1,87283466,87283700
2,87284217,87284338
3,87284595,87284803
4,87285292,87285875
5,87317074,87317148
6,87317263,87317334
7,87322759,87322827
8,87325552,87325706
9,87338488,87338624
10,87339139,87339271
11,87342569,87342874
12,87356807,87356842
13,87359888,87359988
14,87366901,87367000
15,87475955,87476002
16,87482158,87482346
17,87549077,87549207
18,87563377,87563549
19,87570198,87570432
20,87635121,87635279
21,87636167,87638505

>QKI,chr6:163835032-163999628
1,163835032,163836367
2,163876311,163876453
3,163899812,163899928
4,163956014,163956157
5,163983014,163983101
6,163984452,163984751
7,163986978,163987827
8,163991726,163994832

>RNF130,chr5:179338651-179499118
1,179498456,179498721
2,179467453,179467647
3,179440061,179440311
4,179407129,179407200
5,179405203,179405285
6,179397410,179397506
7,179393806,179394010
8,179338651,179347426

>FEV,chr2:219845809-219850379
1,219849746,219850379
2,219848953,219849027
3,219845809,219846978

>CREB1,chr2:208394461-208468155
1,208394461,208394742
2,208420352,208420473
3,208424950,208425096
4,208432187,208432287
5,208434903,208435045
6,208439996,208440178
7,208442229,208442379
8,208461638,208462513

>FGFR1_ENST00000447712,chr8:38268656-38326352
1,38325499,38326352
2,38314874,38315052
3,38287200,38287466
4,38285864,38285953
5,38285439,38285611
6,38283640,38283763
7,38282027,38282217
8,38279315,38279459
9,38277051,38277253
10,38275746,38275891
11,38275388,38275509
12,38274824,38274934
13,38273388,38273578
14,38272297,38272419
15,38272077,38272147
16,38271670,38271807
17,38271436,38271541
18,38268657,38271322

>TACC1,chr8:38585704-38710546
1,38585704,38586189
2,38646222,38646337
3,38677040,38678153
4,38682829,38682886
5,38684686,38684893
6,38688643,38688695
7,38693680,38693805
8,38695988,38696064
9,38697742,38697785
10,38699805,38699965
11,38700807,38700913
12,38704217,38704337
13,38705473,38708311

>NUP98,chr11:3692313-3819022
1,3700784,3700917
2,3697739,3697850
3,3692313,3692646

>KDM5A_ENST00000399788,chr12:389295-498620
1,498093,498620
2,495063,495140
3,493197,493319
4,475100,475270
5,472129,472263
6,465598,465703
7,464324,464415
8,463242,463400
9,461371,461490
10,459787,459945
11,443407,443588
12,442653,442815
13,440985,441104
14,438001,438195
15,432766,432947
16,432248,432372
17,431583,431733
18,430161,430275
19,427272,427627
20,422222,422360
21,420051,420230
22,418969,419130
23,416620,417171
24,416112,416255
25,406207,406366
26,404739,404959
27,401925,402335
28,389295,394828

>WIF1_ENST00000286574,chr12:65444406-65515346
1,65514824,65515346
2,65514197,65514336
3,65471526,65471634
4,65462544,65462684
5,65461475,65461570
6,65460421,65460516
7,65456261,65456356
8,65449811,65449906
9,65448898,65448993
10,65444406,65445250

>POU5F1,chr6:31132119-31148508
1,31148396,31148508
2,31133704,31133824
3,31133348,31133478
4,31132905,31133063
5,31132119,31132644

>TRIM27,chr6:28870779-28891766
1,28876750,28876766
2,28876585,28876617
3,28875269,28875340
4,28875013,28875039
5,28870779,28872442

>EIF3E,chr8:109213445-109447562
1,109215212,109215575
2,109213445,109214152

>RSPO2,chr8:108911544-109095913
1,109094095,109094184
2,109001284,109001472
3,108972902,108973045
4,108970308,108970496
5,108911544,108913418

>PTPRK,chr6:128289924-128841870
1,128841404,128841819
2,128718711,128718833
3,128643184,128643455
4,128563666,128563747
5,128561180,128561295
6,128540067,128540241
7,128505577,128505870
8,128410835,128411137
9,128404860,128404969
10,128403582,128403783
11,128399958,128400063
12,128388664,128388937
13,128385903,128385939
14,128330275,128330413
15,128326229,128326389
16,128319865,128320049
17,128318046,128318133
18,128316607,128316683
19,128313818,128313854
20,128312439,128312536
21,128311914,128312030
22,128306866,128307020
23,128304387,128304522
24,128303976,128304125
25,128302261,128302434
26,128298068,128298199
27,128297802,128297927
28,128294809,128294972
29,128294167,128294302
30,128289924,128291425

>RSPO3,chr6:127439749-127518910
1,127439749,127440434
2,127469793,127469984
3,127471571,127471717
4,127476386,127476583
5,127516968,127518441

>CDKN2D,chr19:10677138-10679735
1,10679189,10679654
2,10677138,10678093

>WDFY2,chr13:52158644-52336171
1,52158644,52158960
2,52234732,52234799
3,52249306,52249379
4,52277732,52277786
5,52293334,52293484
6,52301814,52301926
7,52313185,52313311
8,52325446,52325551
9,52329494,52329595
10,52330468,52330598
11,52332328,52332436
12,52333876,52336171

>ZNF444_ENST00000337080,chr19:56643968-56672262
1,56652556,56652726
2,56657616,56657789
3,56658259,56658577
4,56669863,56669971
5,56670993,56672261

>TAF15,chr17:34136459-34191619
1,34136459,34136580
2,34144720,34144759
3,34147028,34147079
4,34147168,34147252
5,34147336,34147441
6,34149644,34149837
7,34151082,34151202
8,34160911,34160945
9,34161570,34161602
10,34163136,34163245
11,34165428,34165557
12,34169371,34169463
13,34171081,34171162
14,34171284,34171372
15,34171481,34172042
16,34173910,34174246

>DHH,chr12:49483204-49488602
1,49487993,49488602
2,49484911,49485172
3,49483204,49484267

>RHEBL1,chr12:49458468-49463808
1,49463517,49463808
2,49462818,49462889
3,49460751,49460818
4,49460402,49460484
5,49460259,49460315
6,49460014,49460061
7,49459133,49459214
8,49458468,49458975

>FHIT_ENST00000476844,chr3:59735036-61237133
1,61236975,61237087
2,61186291,61186339
3,61027719,61027771
4,60807613,60807705
5,60522593,60522712
6,59999733,59999878
7,59997097,59997126
8,59908072,59908140
9,59737947,59738047
10,59735036,59735294

>HOOK3,chr8:42752075-42885682
1,42752075,42752331
2,42761316,42761401
3,42780700,42780772
4,42785265,42785315
5,42798456,42798588
6,42805531,42805598
7,42812237,42812299
8,42814374,42814457
9,42819454,42819617
10,42821616,42821756
11,42823156,42823357
12,42828432,42828542
13,42829250,42829337
14,42837770,42837839
15,42841798,42841938
16,42852693,42852780
17,42857250,42857284
18,42862990,42863072
19,42865448,42865548
20,42868194,42868298
21,42868472,42868543
22,42873501,42885682

>SRGAP3,chr3:9022275-9404737
1,9290569,9291063
2,9166409,9166601
3,9146364,9146526
4,9121709,9121771
5,9106080,9106265
6,9101915,9102043
7,9099935,9100156
8,9097917,9098018
9,9094711,9094908
10,9089075,9089159
11,9079747,9079774
12,9074334,9074436
13,9068619,9068679
14,9066945,9067022
15,9057281,9057415
16,9055421,9055526
17,9054992,9055219
18,9051992,9052071
19,9036027,9036207
20,9034590,9034739
21,9032196,9032523
22,9022275,9027616

>RAF1,chr3:12625100-12705725
1,12705312,12705725
2,12660014,12660246
3,12653449,12653561
4,12650732,12650834
5,12650265,12650422
6,12647700,12647798
7,12645635,12645788
8,12641887,12641914
9,12641651,12641778
10,12641190,12641307
11,12633207,12633291
12,12632297,12632473
13,12629090,12629136
14,12627180,12627298
15,12626621,12626752
16,12626346,12626480
17,12625100,12626156

>PHF1,chr6:33378176-33384230
1,33378176,33378282
2,33378943,33378992
3,33380025,33380199
4,33380285,33380366
5,33380475,33380570
6,33380973,33381071

>ELL,chr19:18553473-18632937
1,18632731,18632937
2,18583645,18583692
3,18576607,18576728
4,18576222,18576385
5,18572388,18572662
6,18569015,18569139
7,18562362,18562458
8,18561287,18561785
9,18557558,18557624
10,18557119,18557290
11,18556034,18556078
12,18553473,18555678

>RAD51B,chr14:68286496-69196935
1,68286496,68286570
2,68290259,68290344
3,68292181,68292294
4,68301797,68301913
5,68331505,68331602
6,68331720,68331856
7,68352586,68352705
8,68353738,68353921
9,68758601,68758697
10,68878141,68878244
11,68934889,68934967
12,68944365,68944768

>CIC,chr19:42772689-42799949
1,42772689,42772746
2,42775926,42778729
3,42790923,42791072
4,42791158,42791392
5,42791472,42791601
6,42791697,42791879
7,42791962,42792127
8,42793040,42793242
9,42793333,42793558
10,42794000,42794103
11,42794385,42795618
12,42795710,42795897
13,42796238,42796359
14,42796452,42796618
15,42796721,42797011
16,42797111,42797433
17,42797744,42797988
18,42798090,42798241
19,42798325,42798456
20,42798756,42798887
21,42798976,42799948

>DCTN1,chr2:74588281-74619214
1,74607132,74607482
2,74605127,74605372
3,74604775,74604853
4,74604559,74604593
5,74603869,74603889
6,74601450,74601467
7,74600055,74600075
8,74598664,74598855
9,74598106,74598303
10,74597748,74597952
11,74597593,74597671
12,74597313,74597472
13,74597092,74597196
14,74596427,74596618
15,74596225,74596341
16,74595855,74596007
17,74595098,74595258
18,74594823,74594991
19,74594479,74594547
20,74594172,74594234
21,74593910,74594059
22,74593586,74593747
23,74593371,74593502
24,74593020,74593145
25,74592642,74592784
26,74592202,74592368
27,74590741,74590755
28,74590421,74590554
29,74590121,74590304
30,74589777,74589856
31,74589179,74589268
32,74588281,74588763

>CEP89,chr19:33369902-33462897
1,33462742,33462869
2,33457266,33457372
3,33450806,33450964
4,33444521,33444707
5,33439172,33439274
6,33430763,33430791
7,33428537,33428579
8,33424357,33424575
9,33422335,33422477
10,33417840,33417890
11,33417096,33417179
12,33414345,33414448
13,33409130,33409245
14,33406243,33406423
15,33392151,33392318
16,33390763,33390904
17,33378658,33378747
18,33372750,33372919
19,33369902,33370284

>CLIP1,chr12:122755979-122907179
1,122907068,122907135
2,122864915,122865105
3,122861936,122862507
4,122848530,122848654
5,122845506,122845728
6,122839662,122839859
7,122839000,122839103
8,122837273,122837333
9,122825528,122826244
10,122821179,122821295
11,122819195,122819252
12,122818574,122818657
13,122817534,122817690
14,122812808,122812973
15,122812494,122812709
16,122803779,122803895
17,122801296,122801402
18,122794309,122794429
19,122773036,122773088
20,122763575,122763692
21,122763339,122763489
22,122762701,122762750
23,122758585,122758709
24,122755979,122757647

>KIAA1598,chr10:118643742-118886097
1,118764533,118765088
2,118738767,118738819
3,118728163,118728223
4,118719647,118719741
5,118713553,118713721
6,118711420,118711517
7,118708427,118708508
8,118704435,118704529
9,118699977,118700123
10,118689360,118689513
11,118687303,118687402
12,118680945,118681027
13,118674886,118674995
14,118671301,118671354
15,118666138,118666258
16,118661276,118661468
17,118645885,118646077
18,118643742,118643825

>LMNA,chr1:156052364-156109880
1,156052364,156052454
2,156052739,156052975
3,156100408,156100564
4,156104194,156104278

>LSM14A,chr19:34663409-34720420
1,34663409,34663668
2,34685383,34685546
3,34686124,34686225
4,34687539,34687571

>MYO5A,chr15:52599480-52821247
1,52820977,52821247
2,52725372,52725482
3,52720595,52720766
4,52718027,52718171
5,52708342,52708498
6,52702530,52702673
7,52700256,52700337
8,52699489,52699596
9,52697484,52697590
10,52689398,52689663
11,52688513,52688594
12,52684127,52684267
13,52681435,52681560
14,52680026,52680109
15,52676358,52676519
16,52675288,52675385
17,52672019,52672105
18,52671822,52671930
19,52668544,52668755
20,52667501,52667657
21,52664321,52664560
22,52662366,52662614
23,52659228,52659321
24,52656751,52656899
25,52652165,52652278
26,52646068,52646211
27,52645802,52645855
28,52643451,52643678
29,52641015,52641023
30,52638558,52638658
31,52635314,52635394
32,52632393,52632591
33,52628660,52628753
34,52622550,52622696
35,52620049,52620203
36,52615552,52615641
37,52613556,52613706
38,52611257,52611539
39,52609245,52609419
40,52606320,52606400
41,52599480,52606045

>PPFIBP1,chr12:27676364-27848497
1,27676364,27676640
2,27731085,27731172
3,27798995,27799081
4,27800662,27800775
5,27802943,27802985

>PWWP2A,chr5:159488808-159546430
1,159520108,159520187
2,159516513,159516617
3,159493787,159493878
4,159493555,159493619
5,159490549,159490680
6,159488808,159489100

>TP53,chr17:7565097-7590856
1,7579839,7579912
2,7579700,7579721
3,7579312,7579590
4,7578371,7578554
5,7578177,7578289
6,7577499,7577608
7,7565097,7565332

>ZCCHC8,chr12:122957417-122985518
1,122983374,122983872
2,122977262,122977336
3,122975009,122975114
4,122973933,122974010
5,122967826,122967891
6,122967182,122967242
7,122966492,122966634
8,122966069,122966211
9,122964737,122964858
10,122962753,122962839
11,122962388,122962505
12,122957417,122958822

>MYB_ENST00000341911,chr6:135502453-135540311
1,135502453,135502674
2,135507041,135507158
3,135508972,135509043
4,135510929,135511021
5,135511265,135511485
6,135513462,135513696
7,135514976,135515056
8,135515494,135515598
9,135516886,135517140
10,135518099,135518461
11,135520046,135520188
12,135521223,135521337
13,135521428,135521553
14,135522777,135522887
15,135524355,135524462
16,135539002,135540305

>BAIAP2L1,chr7:97920963-98030380
1,98030114,98030380
2,97991669,97991744
3,97984354,97984440
4,97949549,97949610
5,97949370,97949441
6,97946531,97946668
7,97944772,97944924
8,97941409,97941576
9,97939757,97939904
10,97937001,97937208
11,97935751,97935828
12,97933508,97933688
13,97923386,97923423
14,97920963,97922908

>HEY1,chr8:80676245-80680098
1,80679810,80680098
2,80679454,80679529
3,80679244,80679327
4,80678886,80678967
5,80676245,80678006

>NCOA2,chr8:71021997-71316040
1,71315935,71316040
2,71208979,71209035
3,71128895,71128999
4,71126138,71126310
5,71086991,71087094
6,71082437,71082614
7,71078801,71078989
8,71075700,71075801
9,71074946,71075089
10,71071740,71071887
11,71068206,71069475
12,71060508,71060718
13,71056877,71057083
14,71053419,71053634
15,71050438,71050567
16,71044072,71044237
17,71040937,71041215
18,71040668,71040745
19,71039048,71039282
20,71036923,71037100
21,71036119,71036317
22,71033537,71033626
23,71021997,71025878

>MLLT4_ENST00000392108,chr6:168227602-168372703
1,168227671,168227917
2,168265231,168265426
3,168271066,168271178
4,168272894,168273057
5,168276015,168276175
6,168281040,168281197
7,168289895,168290006
8,168291542,168291709
9,168294542,168294586
10,168297558,168297652
11,168298885,168299147
12,168302997,168303066
13,168307851,168307969
14,168311781,168311842
15,168311964,168312169
16,168314848,168314993
17,168315324,168315418
18,168315848,168316113
19,168317769,168317912
20,168319415,168319613
21,168323536,168323639
22,168325685,168325771
23,168343809,168343874
24,168344082,168344155
25,168344621,168344739
26,168347387,168347581
27,168348533,168348624
28,168348973,168349158
29,168351866,168352867
30,168363119,168364976

>RANBP2,chr2:109335937-109402267
1,109335937,109336134
2,109345588,109345655
3,109347230,109347341
4,109347778,109347930
5,109351988,109352218
6,109352560,109352705
7,109356945,109357137
8,109363167,109363254
9,109365376,109365585
10,109367720,109367901
11,109367984,109368159
12,109368327,109368450
13,109369454,109369615
14,109369882,109370019
15,109370281,109370427
16,109371361,109371540
17,109371632,109371715
18,109374869,109375004
19,109378557,109378651
20,109379693,109384844
21,109388157,109388327
22,109388945,109389037
23,109389324,109389502
24,109392188,109392392
25,109393586,109393687
26,109397725,109397885
27,109398584,109398857
28,109398984,109399318
29,109400052,109402267

>MBTD1_ENST00000586178,chr17:49254786-49337524
1,49337196,49337427
2,49336504,49336567
3,49302369,49302570
4,49297691,49297824
5,49296291,49296405
6,49294695,49294777
7,49284249,49284366
8,49281152,49281286
9,49280501,49280589
10,49280062,49280296
11,49279383,49279438
12,49278953,49279057
13,49272575,49272722
14,49270789,49270871
15,49270143,49270377
16,49269564,49269641
17,49254786,49258055

>CXorf67_ENST00000342995,chrX:51149767-51151687
1,51149767,51151687

>TPM4,chr19:16177831-16213813
1,16177831,16178116
2,16178344,16178548
3,16186857,16186951

>KLK2,chr19:51364824-51383823
1,51364824,51364935
2,51376439,51376510
3,51377977,51378136
4,51379728,51379895

>ACSL3_ENST00000357430,chr2:223725652-223809357
1,223725652,223725976
2,223752548,223752606
3,223765392,223765498
4,223773451,223773868
5,223781037,223781214
6,223782764,223782873
7,223783782,223783920
8,223785998,223786148
9,223787426,223787549
10,223787796,223787867
11,223789174,223789313
12,223791735,223791907
13,223793580,223793654
14,223795339,223795530
15,223797884,223797998
16,223799248,223799405
17,223806215,223809357

>AFF4,chr5:132211071-132299326
1,132298951,132299326
2,132272759,132272885
3,132269839,132270633
4,132267870,132267914
5,132262813,132262899
6,132240060,132240096
7,132238134,132238179
8,132235279,132235333
9,132234796,132234833
10,132233922,132234084
11,132232015,132232932
12,132228722,132228810
13,132227856,132228096
14,132224771,132224865
15,132223789,132223852
16,132223538,132223674
17,132223213,132223284
18,132222002,132222095
19,132220768,132220811
20,132219032,132219252
21,132211071,132216878

>ELK4,chr1:205577071-205601090
1,205600760,205601090
2,205592804,205593019
3,205589094,205589966
4,205588085,205588201
5,205577071,205585772

>NUP107,chr12:69080514-69136785
1,69080514,69080853
2,69082742,69082833
3,69083313,69083399
4,69084411,69084526
5,69085748,69085892
6,69090599,69090702
7,69094506,69094633
8,69096516,69096564
9,69103018,69103089
10,69103785,69103873
11,69107510,69107588
12,69109407,69109520
13,69113121,69113211
14,69113358,69113434
15,69114898,69114957
16,69115621,69115766
17,69115884,69115932
18,69119507,69119576
19,69120279,69120397
20,69121131,69121169
21,69124890,69125040
22,69125387,69125499
23,69126417,69126519
24,69127232,69127392
25,69128488,69128613
26,69129011,69129124
27,69135593,69135760
28,69136135,69136785

>LGR5,chr12:71833550-71980090
1,71833550,71834072
2,71898394,71898465
3,71918186,71918257
4,71928895,71928966
5,71946853,71947068
6,71950399,71950470
7,71953366,71953434
8,71955561,71955632
9,71960184,71960255
10,71960412,71960480
11,71960621,71960692
12,71965294,71965359
13,71966630,71966701
14,71971705,71971776
15,71972584,71972709
16,71974058,71974203
17,71976236,71976319
18,71977427,71980090

>YY1,chr14:100704635-100749129
1,100704635,100705127
2,100705541,100705683

>CCNB1IP1,chr14:20779527-20801471
1,20801003,20801169
2,20797333,20797532
3,20794875,20794952
4,20793698,20793812
5,20784386,20784719
6,20781627,20781960
7,20779527,20779911

>COX6C,chr8:100885428-100906290
1,100905867,100905934
